Id,Nom_festival,Type,Region,Ville,Geocode,Annee,Site_internet,Genre_musique,Spectacle_vivant,Cinema_audiovisuel,Art,Livre_litterature
FEST_83136_3188,Les nuits blanches,Musique,Provence-Alpes-Côte d'Azur,Le Thoronet,"43.458933028, 6.28265623456",2001,lesnuitsblanches.org,"Musiques du monde, musiques électroniques, techno, pop, rock, rnb, variétés internationales",,,,
FEST_32208_3214,Lectoure à voix haute,"Livre, littérature",Occitanie,Lectoure,"43.9405030561, 0.650762392132",2015,lectoure-voixhaute.fr,,,,,
FEST_86137_3459,Festival Anako du Film Ethnographique de Loudun,"Cinéma, audiovisuel",Nouvelle-Aquitaine,Loudun,"47.0098072856, 0.0990443124673",2014,www.fondation-anako.org,,,,,
FEST_45203_3887,Barock sur Loire,Musique,Centre-Val de Loire,Meung-sur-Loire,"47.8397230739, 1.69811579508",2018,barocksurloire.com,Musique classique,,,,
FEST_25388_3995,Eurocuivres,Musique,Bourgogne-Franche-Comté,Montbéliard,"47.5155169816, 6.79148147353",1999,www.eurocuivres.com,Musique classique,,,,
FEST_80565_4070,Jazz à Montonvillers,Musique,Hauts-de-France,Montonvillers,"49.9964398506, 2.29571982025",2004,www.jazzamontonvillers.fr,"Jazz, blues",,,,
FEST_25411_4182,Festival de musique du Haut-Doubs,Musique,Bourgogne-Franche-Comté,Morteau,"47.063408704, 6.58305657113",1990,ensemble-galitzine.fr,Musique classique,,,,
FEST_92050_4284,Parade(s),Spectacle vivant,Île-de-France,Nanterre,"48.8960701282, 2.20671346353",1990,www.nanterre.fr,,Arts de la rue,,,
FEST_06088_4395,La crème festival,Musique,Provence-Alpes-Côte d'Azur,Nice,"43.7119992661, 7.23826889465",2019,https://lacremefestival.com,Musiques actuelles,,,,
FEST_18170_4507,Festival de Boucard Haut-Berry,Musique,Centre-Val de Loire,Oizon,"47.4531780432, 2.51260180785",1966,www.festival-boucard.fr,"Musique classique, Musique contemporaine",,,,
FEST_32307_4925,Plein les feuilles,Musique,Occitanie,Pavie,"43.605614575, 0.589850870884",2006,Www.plein-les-feuilles.com,,,,,
FEST_94059_5055,Plesstival,Musique,Île-de-France,Plessis-Trévise,"48.8060154583, 2.57619846918",2018,https://www.hangar.paris/plesstival,"Variétés internationales, Musiques électroniques, techno, Hip-hop, rap, slam, Pop, rock",,,,
FEST_56173_5086,Les guinguettes,Musique,Bretagne,Plumeliau-Bieuzy,"47.9650479618, -2.98095397344",2018,http://asso-hapax.com/,"Musiques du monde, Musiques traditionnelles, Hip-hop, rap, slam, Pop, rock",,,,
FEST_24345_5254,Blues In Queyssac Festival,Musique,Nouvelle-Aquitaine,Queyssac,"44.9151488173, 0.532361895474",2017,http://www.bluespourpre.fr,Musiques actuelles,,,,
FEST_42187_5453,Festival du Forez,Musique,Auvergne-Rhône-Alpes,Roanne,"46.0449112487, 4.0797045647",2013,http://festivalduforez.com,Musique classique,,,,
FEST_22267_5505,Fisel,Musique,Bretagne,Rostrenen,"48.3069863373, -2.36929726654",1972,www.festival.fisel.org,"Musiques du monde, Musiques traditionnelles",,,,
FEST_17306_5553,Académie musicale de Royan,Musique,Nouvelle-Aquitaine,Royan,"45.6346574238, -1.01791403375",2007,http://www.academie-musicale-royan.fr/,Musiques classiques et savantes,,,,
FEST_17317_5712,Festival Artistique Cagouilles et Cie,Spectacle vivant,Nouvelle-Aquitaine,Saint-Ciers-du-Taillon,"45.4314531462, -0.633076943744",2015,http://fr-fr.facebook.com/festivalcagouilles/,,Spectacle vivant pluridisciplinaire,,,
FEST_56263_5765,Les Galettes du Monde,Musique,Bretagne,Sainte-Anne-d'Auray,"47.7009234212, -2.95341644757",2008,Galettes du monde free.fr,Musiques du monde,,,,
FEST_44164_5905,St Hil Jazz Festival,Musique,Pays de la Loire,Saint-Hilaire-de-Chaléons,"47.0958948849, -1.87983637967",2018,www.sthiljazzfestival.com,,,,,
FEST_85226_5906,Vers Les Arts,Spectacle vivant,Pays de la Loire,Saint-Hilaire-de-Riez,"46.7432732188, -1.96439228965",2001,www.sainthilairederiez.fr/,,"Cirque, Arts de la rue",,,
FEST_87154_5951,Comme Un Effet de L'art Scène,Musique,Nouvelle-Aquitaine,Saint-Junien,"45.9024520048, 0.887855844778",2010,http://www.saint-junien.fr/,Musiques actuelles,,,,
FEST_17380_6080,Festival Crescendo,Musique,Nouvelle-Aquitaine,Saint-Palais-sur-Mer,"45.6579754062, -1.10115118709",1999,http://www.festival-crescendo.com,Musiques actuelles,,,,
FEST_49329_6283,Musique dans les Vignes,Musique,Pays de la Loire,Savennières,"47.405865718, -0.667155831696",2016,https://www.lesmardismusicaux.fr/music-dans-les-vigne,,,,,
FEST_49331_6305,Les Heures musicales du Haut Anjou,Musique,Pays de la Loire,Segré-en-Anjou Bleu,"47.7016654227, -0.863354104119",1990,http://lesheuresmusicales.fr/,,,,,
FEST_88451_6323,Festival des Abbayes en Lorraine,Musique,Grand Est,Senones,"48.4067567692, 6.9636413109",2003,https://festivaldesabbayeslorraine.com/,"Musiques traditionnelles, Musique classique",,,,
FEST_34301_6353,Quand je pense à Fernande,Spectacle vivant,Occitanie,Sète,"43.3917705831, 3.64705148296",2002,https://www.festival-fernande.com/,,,,,
FEST_24547_6534,Les Chemins de L'imaginaire,Spectacle vivant,Nouvelle-Aquitaine,Terrasson-Lavilledieu,"45.1181463598, 1.29916463367",1991,http://www.centre-culturel-terrasson.fr/,,Spectacle vivant pluridisciplinaire,,,
FEST_63430_6549,Les rencontres Arioso,Musique,Auvergne-Rhône-Alpes,Thiers,"45.8620554106, 3.53945258847",2013,www.rencontres-arioso.fr,Musique classique,,,,
FEST_22362_6776,Beg Chopin,Musique,Bretagne,Treguier,"48.7850465816, -3.23178776538",2008,A l’arrêt pour le moment,"Chanson ou variété française, Musiques du monde",,,,
FEST_41142_6891,Artecisse Festival H2o,"Arts visuels, arts numériques",Centre-Val de Loire,Valencisse,"47.5802707156, 1.22561710259",2016,www.artecisse.xyz,,,,"Peinture, Performance, Street art, Land art, Musique",
FEST_41269_6976,Festival de l'Académie Lyrique,Musique,Centre-Val de Loire,Vendôme,"47.8013026692, 1.06106057175",2006,academielyrique.org,"Musique classique, Opéra",,,,
FEST_37267_6995,Dansez maintenant,Spectacle vivant,Centre-Val de Loire,Véretz,"47.3522450777, 0.810254495994",2017,www.festivaldansezmaintenant.com,,,,,
FEST_33550_7101,Musiques en Graves,Musique,Nouvelle-Aquitaine,Villenave-d'Ornon,"44.773185218, -0.558212256384",2000,http://musique-en-graves.com/,Musiques classiques et savantes,,,,
FEST_47323_7120,Festiv'azul,Musique,Nouvelle-Aquitaine,Villeneuve-sur-Lot,"44.4251092866, 0.742526167632",2016,www.festivazul.net,Musiques actuelles,,,,
FEST_14762_7160,Festival Les Virevoltés,Spectacle vivant,Normandie,Vire,"48.8512498219, -0.889601911342",1990,https://lesvirevoltes.org/,,Arts de la rue,,,
FEST_67531_7213,Les Scènes sauvages,Spectacle vivant,Grand Est,Wildersbach,"48.4358512521, 7.22390399237",2019,www.les-scenes-sauvages.com,,Théâtre,,,
FEST_74012_273,Festival du livre jeunesse d'annemasse,"Livre, littérature",Auvergne-Rhône-Alpes,Annemasse,"46.1909730986, 6.24250704322",1994,http://www.festivaldulivrejeunesseannemasse.blogspot.fr,,,,,
FEST_84007_531,Le totem,Spectacle vivant,Provence-Alpes-Côte d'Azur,Avignon,"43.9352448339, 4.84071572505",1983,WWW.LE-TOTEM.COM,,Théâtre,,,
FEST_24037_743,Biennale Éphémères,"Arts visuels, arts numériques",Nouvelle-Aquitaine,Bergerac,"44.8543751872, 0.486529423457",2009,https://lesrivesdelart.com/biennales-ephemeres/,,,,,
FEST_52123_1618,ChiFouMi festival,Spectacle vivant,Grand Est,Chevillon,"48.5306693888, 5.14449573214",2016,ChiFouMi-festival.com,,Arts de la rue,,,
